source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0140694	membraneless organelle assembly	5.49378769317667e-07	True	"""The aggregation, arrangement and bonding together of a set of components to form a non-membrane-bounded organelle."" [PMID:28225081]"	430	883	49	21026	0.05549263873159683	0.11395348837209303	query_1	['GO:0070925']
GO:BP	GO:0044839	cell cycle G2/M phase transition	8.145179281279743e-07	True	"""The cell cycle process by which a cell in G2 phase commits to M phase."" [GOC:jl, GOC:mtg_cell_cycle]"	156	883	27	21026	0.030577576443941108	0.17307692307692307	query_1	['GO:0044770']
GO:BP	GO:0048285	organelle fission	1.4296848428232533e-06	True	"""The creation of two or more organelles by division of one organelle."" [GOC:jid]"	500	883	53	21026	0.06002265005662514	0.106	query_1	['GO:0006996']
GO:BP	GO:0007051	spindle organization	1.5429016518088655e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the spindle, the array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during DNA segregation and serves to move the duplicated chromosomes apart."" [GOC:go_curators, GOC:mah]"	206	883	31	21026	0.035107587768969425	0.15048543689320387	query_1	['GO:0000226', 'GO:0022402']
GO:BP	GO:0007017	microtubule-based process	2.14411842189241e-06	True	"""Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins."" [GOC:mah]"	999	883	84	21026	0.09513023782559456	0.08408408408408409	query_1	['GO:0009987']
GO:BP	GO:0051726	regulation of cell cycle	2.4725638246266573e-06	True	"""Any process that modulates the rate or extent of progression through the cell cycle."" [GOC:ai, GOC:dph, GOC:tb]"	1087	883	89	21026	0.10079275198187995	0.08187672493100276	query_1	['GO:0007049', 'GO:0050794']
GO:BP	GO:0051983	regulation of chromosome segregation	2.7540300415158387e-06	True	"""Any process that modulates the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]"	132	883	24	21026	0.027180067950169876	0.18181818181818182	query_1	['GO:0007059', 'GO:0010564']
GO:BP	GO:0000280	nuclear division	3.026297071179774e-06	True	"""The division of a cell nucleus into two nuclei, with DNA and other nuclear contents distributed between the daughter nuclei."" [GOC:mah]"	452	883	49	21026	0.05549263873159683	0.1084070796460177	query_1	['GO:0048285']
GO:BP	GO:0051304	chromosome separation	3.25462178083805e-06	True	"""The cell cycle process in which paired chromosomes are detached from each other. Chromosome separation begins with the release of cohesin complexes from chromosomes; in budding yeast, this includes the cleavage of cohesin complexes along the chromosome arms, followed by the separation of the centromeric regions. Chromosome separation also includes formation of chromatid axes mediated by condensins, and ends with the disentangling of inter-sister catenation catalyzed by topoisomerase II (topo II)."" [GOC:ai, GOC:lb, GOC:mah, GOC:mtg_cell_cycle, PMID:20352243]"	84	883	19	21026	0.021517553793884484	0.2261904761904762	query_1	['GO:0007059', 'GO:0022402']
GO:BP	GO:0006996	organelle organization	4.42342160172942e-06	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	3594	883	219	21026	0.2480181200453001	0.06093489148580968	query_1	['GO:0016043']
GO:BP	GO:1905818	regulation of chromosome separation	4.988414765928178e-06	True	"""Any process that modulates the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]"	77	883	18	21026	0.020385050962627407	0.23376623376623376	query_1	['GO:0051304', 'GO:0051983']
GO:BP	GO:1902850	microtubule cytoskeleton organization involved in mitosis	5.106771319575422e-06	True	"""Any microtubule cytoskeleton organization that is involved in mitosis."" [GO_REF:0000060, GOC:TermGenie, PMID:18799626]"	169	883	27	21026	0.030577576443941108	0.15976331360946747	query_1	['GO:0000226', 'GO:1903047']
GO:BP	GO:0044772	mitotic cell cycle phase transition	1.2776687648822938e-05	True	"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]"	428	883	46	21026	0.052095130237825596	0.10747663551401869	query_1	['GO:0044770', 'GO:1903047']
GO:BP	GO:0007088	regulation of mitotic nuclear division	1.3440682872801574e-05	True	"""Any process that modulates the frequency, rate or extent of mitosis."" [GOC:go_curators]"	121	883	22	21026	0.02491506228765572	0.18181818181818182	query_1	['GO:0007346', 'GO:0010564', 'GO:0051783', 'GO:0140014']
GO:BP	GO:0051301	cell division	1.4005067628821785e-05	True	"""The process resulting in division and partitioning of components of a cell to form more cells; may or may not be accompanied by the physical separation of a cell into distinct, individually membrane-bounded daughter cells."" [GOC:di, GOC:go_curators, GOC:pr]"	658	883	61	21026	0.06908267270668177	0.09270516717325228	query_1	['GO:0009987']
REAC	REAC:R-HSA-68877	Mitotic Prometaphase	1.5228142495887588e-05	True	Mitotic Prometaphase	200	502	29	11004	0.05776892430278884	0.145	query_1	['REAC:R-HSA-68886']
REAC	REAC:R-HSA-2500257	Resolution of Sister Chromatid Cohesion	1.9143417688689943e-05	True	Resolution of Sister Chromatid Cohesion	124	502	22	11004	0.043824701195219126	0.1774193548387097	query_1	['REAC:R-HSA-68877']
GO:BP	GO:0007052	mitotic spindle organization	1.9262914934869976e-05	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the microtubule spindle during a mitotic cell cycle."" [GOC:go_curators, GOC:mah]"	134	883	23	21026	0.026047565118912798	0.17164179104477612	query_1	['GO:0007051', 'GO:1902850']
GO:BP	GO:0007093	mitotic cell cycle checkpoint signaling	2.58040063490537e-05	True	"""A signaling process that ensures accurate chromosome replication and segregation by preventing progression through a mitotic cell cycle until conditions are suitable for the cell to proceed to the next stage."" [GOC:mtg_cell_cycle]"	136	883	23	21026	0.026047565118912798	0.16911764705882354	query_1	['GO:0000075', 'GO:0045930', 'GO:1903047']
GO:BP	GO:0051225	spindle assembly	2.58040063490537e-05	True	"""The aggregation, arrangement and bonding together of a set of components to form the spindle, the array of microtubules and associated molecules that serves to move duplicated chromosomes apart."" [GOC:ai, GOC:expert_rg, GOC:mtg_sensu, GOC:tb]"	136	883	23	21026	0.026047565118912798	0.16911764705882354	query_1	['GO:0007051', 'GO:0007059', 'GO:0140694']
GO:BP	GO:0050000	chromosome localization	2.9252137145097888e-05	True	"""Any process in which a chromosome is transported to, or maintained in, a specific location."" [GOC:ai]"	126	883	22	21026	0.02491506228765572	0.1746031746031746	query_1	['GO:0051640']
REAC	REAC:R-HSA-69618	Mitotic Spindle Checkpoint	4.495228325317825e-05	True	Mitotic Spindle Checkpoint	109	502	20	11004	0.0398406374501992	0.1834862385321101	query_1	['REAC:R-HSA-69620']
GO:BP	GO:0010965	regulation of mitotic sister chromatid separation	6.601933065393357e-05	True	"""Any process that modulates the frequency, rate or extent of mitotic sister chromatid separation. Mitotic sister chromatid separation is the process in which sister chromatids are physically detached from each other during mitosis."" [GOC:dph, GOC:tb]"	62	883	15	21026	0.01698754246885617	0.24193548387096775	query_1	['GO:0051306', 'GO:1905818']
GO:BP	GO:0010564	regulation of cell cycle process	7.016012379196051e-05	True	"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]"	720	883	63	21026	0.07134767836919592	0.0875	query_1	['GO:0022402', 'GO:0051726']
REAC	REAC:R-HSA-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	7.233137196636703e-05	True	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	92	502	18	11004	0.035856573705179286	0.1956521739130435	query_1	['REAC:R-HSA-141424']
REAC	REAC:R-HSA-141424	Amplification of signal from the kinetochores	7.233137196636703e-05	True	Amplification of signal from the kinetochores	92	502	18	11004	0.035856573705179286	0.1956521739130435	query_1	['REAC:R-HSA-69618']
GO:BP	GO:0044770	cell cycle phase transition	8.690657423146229e-05	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	532	883	51	21026	0.057757644394110984	0.09586466165413533	query_1	['GO:0022402']
GO:BP	GO:0051306	mitotic sister chromatid separation	0.00013078704168528087	True	"""The process in which sister chromatids are physically detached from each other during mitosis."" [GOC:ai]"	65	883	15	21026	0.01698754246885617	0.23076923076923078	query_1	['GO:0000070', 'GO:0051304', 'GO:1903047']
GO:BP	GO:0051310	metaphase chromosome alignment	0.00013401679396665564	True	"""A chromosome localization process whereby chromosomes are positioned in a specific order and orientation at the metaphase plate (spindle equator), during chromosome segregation. This alignment ensures that each daughter cell will receive the correct number of chromosomes during cell division."" [GOC:vw]"	104	883	19	21026	0.021517553793884484	0.18269230769230768	query_1	['GO:0051303', 'GO:0098813']
GO:BP	GO:1901991	negative regulation of mitotic cell cycle phase transition	0.00013850953585007643	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	172	883	25	21026	0.028312570781426953	0.14534883720930233	query_1	['GO:0044772', 'GO:0045930', 'GO:1901988', 'GO:1901990']
GO:BP	GO:0033047	regulation of mitotic sister chromatid segregation	0.00015547809167207904	True	"""Any process that modulates the frequency, rate or extent of sister chromatid segregation during mitosis."" [GOC:mah]"	57	883	14	21026	0.015855039637599093	0.24561403508771928	query_1	['GO:0000070', 'GO:0033045']
GO:BP	GO:0000226	microtubule cytoskeleton organization	0.00015603713863983972	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."" [GOC:mah]"	670	883	59	21026	0.06681766704416761	0.0880597014925373	query_1	['GO:0007010', 'GO:0007017']
GO:BP	GO:0070925	organelle assembly	0.00016829870380467843	True	"""The aggregation, arrangement and bonding together of a set of components to form an organelle. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]"	1046	883	81	21026	0.09173272933182333	0.07743785850860421	query_1	['GO:0006996', 'GO:0022607']
GO:BP	GO:0071173	spindle assembly checkpoint signaling	0.0001696296314256439	True	"""A signaling process that delays the metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle."" [GOC:mah]"	49	883	13	21026	0.014722536806342015	0.2653061224489796	query_1	['GO:0031577']
GO:BP	GO:0071174	mitotic spindle checkpoint signaling	0.0001696296314256439	True	"""A signaling process that contributes to a mitotic cell cycle checkpoint that originates from the spindle and delays the metaphase/anaphase transition of a mitotic nuclear division until the spindle is correctly assembled and oriented, the completion of anaphase until chromosomes are attached to the spindle, or mitotic exit and cytokinesis when the spindle does not form."" [GOC:mtg_cell_cycle]"	49	883	13	21026	0.014722536806342015	0.2653061224489796	query_1	['GO:0007093', 'GO:0031577']
GO:BP	GO:0007094	mitotic spindle assembly checkpoint signaling	0.0001696296314256439	True	"""A mitotic cell cycle checkpoint that delays mitotic sister chromatid separation and consequently the mitotic metaphase/anaphase transition until the spindle is correctly assembled and chromosomes are attached to the spindle. Spindle assembly checkpoint signaling begins with the activated Mph family kinase, and results in the inhibition of the Anaphase Promoting Complex and its activator Sleepy/Cdc20 by the mitotic checkpoint complex (MCC)."" [GOC:mtg_cell_cycle, PMID:12360190]"	49	883	13	21026	0.014722536806342015	0.2653061224489796	query_1	['GO:0045841', 'GO:0071173', 'GO:0071174']
GO:BP	GO:0000086	G2/M transition of mitotic cell cycle	0.0001834013512532857	True	"""The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."" [GOC:mtg_cell_cycle]"	139	883	22	21026	0.02491506228765572	0.15827338129496402	query_1	['GO:0044772', 'GO:0044839']
GO:BP	GO:0033045	regulation of sister chromatid segregation	0.0002152545461705278	True	"""Any process that modulates the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]"	107	883	19	21026	0.021517553793884484	0.17757009345794392	query_1	['GO:0000819', 'GO:0033044', 'GO:0051983']
GO:BP	GO:0031577	spindle checkpoint signaling	0.0002204732801819583	True	"""A signaling process that that controls a cell cycle checkpoint that originates from the mitotic or meiotic spindle."" [GOC:mtg_cell_cycle]"	50	883	13	21026	0.014722536806342015	0.26	query_1	['GO:0000075']
GO:BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	0.00023227877098537937	True	"""The cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:mtg_cell_cycle, PMID:10465783]"	97	883	18	21026	0.020385050962627407	0.18556701030927836	query_1	['GO:0044772', 'GO:0044784']
GO:BP	GO:0033044	regulation of chromosome organization	0.0002698140245396061	True	"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of a chromosome."" [GOC:mah]"	242	883	30	21026	0.03397508493771234	0.12396694214876033	query_1	['GO:0033043', 'GO:0051276']
GO:BP	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	0.00028459809462493257	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:go_curators]"	51	883	13	21026	0.014722536806342015	0.2549019607843137	query_1	['GO:0007091', 'GO:0030071', 'GO:0045839', 'GO:1901991', 'GO:1902100', 'GO:2000816']
GO:BP	GO:0033048	negative regulation of mitotic sister chromatid segregation	0.00028459809462493257	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid segregation during mitosis."" [GOC:mah]"	51	883	13	21026	0.014722536806342015	0.2549019607843137	query_1	['GO:0000070', 'GO:0033046', 'GO:0033047']
GO:BP	GO:0033046	negative regulation of sister chromatid segregation	0.00028459809462493257	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of sister chromatid segregation."" [GOC:mah]"	51	883	13	21026	0.014722536806342015	0.2549019607843137	query_1	['GO:0000819', 'GO:0033045', 'GO:0051985', 'GO:2001251']
GO:BP	GO:2000816	negative regulation of mitotic sister chromatid separation	0.00028459809462493257	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of mitotic sister chromatid separation."" [GOC:obol]"	51	883	13	21026	0.014722536806342015	0.2549019607843137	query_1	['GO:0010965', 'GO:0033048', 'GO:0051306', 'GO:1905819']
GO:BP	GO:0044784	metaphase/anaphase transition of cell cycle	0.00037671375852763776	True	"""The cell cycle process in which a cell progresses from metaphase to anaphase as part of the cell cycle."" [GOC:mtg_cell_cycle]"	100	883	18	21026	0.020385050962627407	0.18	query_1	['GO:0033045', 'GO:0044770']
GO:BP	GO:1905819	negative regulation of chromosome separation	0.00046513178669525877	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of chromosome separation."" [GO_REF:0000058, GOC:bhm, GOC:TermGenie, PMID:21795393]"	53	883	13	21026	0.014722536806342015	0.24528301886792453	query_1	['GO:0051304', 'GO:0051985', 'GO:1905818']
GO:BP	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	0.00046513178669525877	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of metaphase/anaphase transition of cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	53	883	13	21026	0.014722536806342015	0.24528301886792453	query_1	['GO:0044784', 'GO:1901988', 'GO:1902099']
GO:BP	GO:0051985	negative regulation of chromosome segregation	0.00046513178669525877	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of chromosome segregation, the process in which genetic material, in the form of chromosomes, is organized and then physically separated and apportioned to two or more sets."" [GOC:ai]"	53	883	13	21026	0.014722536806342015	0.24528301886792453	query_1	['GO:0007059', 'GO:0010948', 'GO:0051983']
REAC	REAC:R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	0.0005143068237260379	True	EML4 and NUDC in mitotic spindle formation	115	502	19	11004	0.037848605577689244	0.16521739130434782	query_1	['REAC:R-HSA-68877']
GO:BP	GO:0061640	cytoskeleton-dependent cytokinesis	0.0005155736208799363	True	"""A cytokinesis that involves the function of a set of proteins that are part of the microfilament or microtubule cytoskeleton."" [GOC:dph]"	124	883	20	21026	0.022650056625141562	0.16129032258064516	query_1	['GO:0000910']
GO:BP	GO:0051783	regulation of nuclear division	0.0006433226521829467	True	"""Any process that modulates the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."" [GOC:ai]"	149	883	22	21026	0.02491506228765572	0.1476510067114094	query_1	['GO:0000280', 'GO:0033043']
GO:BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	0.0006566886016286076	True	"""Any process that modulates the frequency, rate or extent of the cell cycle process in which a cell progresses from metaphase to anaphase during mitosis, triggered by the activation of the anaphase promoting complex by Cdc20/Sleepy homolog which results in the degradation of Securin."" [GOC:mah]"	93	883	17	21026	0.01925254813137033	0.1827956989247312	query_1	['GO:0007091', 'GO:1901990', 'GO:1902099']
GO:BP	GO:0007346	regulation of mitotic cell cycle	0.0008341207878766695	True	"""Any process that modulates the rate or extent of progress through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	492	883	46	21026	0.052095130237825596	0.09349593495934959	query_1	['GO:0000278', 'GO:0051726']
REAC	REAC:R-HSA-68882	Mitotic Anaphase	0.0008676877798213236	True	Mitotic Anaphase	228	502	28	11004	0.055776892430278883	0.12280701754385964	query_1	['REAC:R-HSA-2555396']
GO:BP	GO:1901990	regulation of mitotic cell cycle phase transition	0.0009423024140505871	True	"""Any process that modulates the frequency, rate or extent of mitotic cell cycle phase transition."" [GOC:mtg_cell_cycle, GOC:TermGenie, PMID:22841721]"	327	883	35	21026	0.039637599093997736	0.10703363914373089	query_1	['GO:0007346', 'GO:0044772', 'GO:1901987']
REAC	REAC:R-HSA-2555396	Mitotic Metaphase and Anaphase	0.0009472157421532773	True	Mitotic Metaphase and Anaphase	229	502	28	11004	0.055776892430278883	0.1222707423580786	query_1	['REAC:R-HSA-68886']
GO:BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	0.0010542669715280894	True	"""Any process that modulates the frequency, rate or extent of metaphase/anaphase transition of cell cycle."" [GOC:mtg_cell_cycle, GOC:TermGenie]"	96	883	17	21026	0.01925254813137033	0.17708333333333334	query_1	['GO:0033045', 'GO:0044784', 'GO:1901987']
GO:BP	GO:0051303	establishment of chromosome localization	0.0010573807752284254	True	"""The directed movement of a chromosome to a specific location."" [GOC:ai]"	118	883	19	21026	0.021517553793884484	0.16101694915254236	query_1	['GO:0050000', 'GO:0051649', 'GO:0051656']
GO:BP	GO:0051255	spindle midzone assembly	0.0013547648747170543	True	"""The cell cycle process in which aggregation, arrangement and bonding together of a set of components to form the spindle midzone. The spindle midzone is the area in the center of the spindle where the spindle microtubules from opposite poles overlap."" [GOC:ai, PMID:15296749]"	14	883	7	21026	0.007927519818799546	0.5	query_1	['GO:0007017', 'GO:0022402', 'GO:0022607', 'GO:0051225']
REAC	REAC:R-HSA-2514853	Condensation of Prometaphase Chromosomes	0.0017494502132197089	True	Condensation of Prometaphase Chromosomes	11	502	6	11004	0.01195219123505976	0.5454545454545454	query_1	['REAC:R-HSA-68877']
REAC	REAC:R-HSA-5663220	RHO GTPases Activate Formins	0.001757949293377068	True	RHO GTPases Activate Formins	136	502	20	11004	0.0398406374501992	0.14705882352941177	query_1	['REAC:R-HSA-195258']
GO:BP	GO:0045839	negative regulation of mitotic nuclear division	0.001771759448925665	True	"""Any process that stops, prevents or reduces the rate or extent of mitosis. Mitosis is the division of the eukaryotic cell nucleus to produce two daughter nuclei that, usually, contain the identical chromosome complement to their mother."" [GOC:dph, GOC:go_curators, GOC:tb]"	59	883	13	21026	0.014722536806342015	0.22033898305084745	query_1	['GO:0007088', 'GO:0010948', 'GO:0045930', 'GO:0051784', 'GO:0140014']
GO:BP	GO:0048518	positive regulation of biological process	0.0022620215253068257	True	"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	6264	883	328	21026	0.3714609286523216	0.05236270753512133	query_1	['GO:0008150', 'GO:0050789']
REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	0.0023739871363100376	True	Cell Cycle, Mitotic	549	502	49	11004	0.09760956175298804	0.08925318761384335	query_1	['REAC:R-HSA-1640170']
GO:BP	GO:0051383	kinetochore organization	0.0026618618387274145	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the kinetochore, a multisubunit complex that is located at the centromeric region of DNA and provides an attachment point for the spindle microtubules."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	21	883	8	21026	0.009060022650056626	0.38095238095238093	query_1	['GO:0051276']
GO:BP	GO:0048522	positive regulation of cellular process	0.004034439379643889	True	"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5920	883	311	21026	0.3522083805209513	0.05253378378378378	query_1	['GO:0009987', 'GO:0048518', 'GO:0050794']
GO:BP	GO:0034508	centromere complex assembly	0.004157750077177981	True	"""The aggregation, arrangement and bonding together of proteins and centromeric DNA molecules to form a centromeric protein-DNA complex. Includes the formation of the chromatin structures which form a platform for the kinetochore, and assembly of the kinetochore onto this specialized chromatin. In fission yeast and higher eukaryotes this process also includes the formation of heterochromatin at the outer repeat (pericentric) regions of the centromere."" [GOC:mah, GOC:vw]"	29	883	9	21026	0.010192525481313703	0.3103448275862069	query_1	['GO:0051276', 'GO:0065004']
REAC	REAC:R-HSA-69620	Cell Cycle Checkpoints	0.004278810254309991	True	Cell Cycle Checkpoints	289	502	31	11004	0.061752988047808766	0.10726643598615918	query_1	['REAC:R-HSA-1640170']
GO:BP	GO:0007010	cytoskeleton organization	0.004528775029497444	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:dph, GOC:jl, GOC:mah]"	1529	883	102	21026	0.11551528878822197	0.06671026814911707	query_1	['GO:0006996']
GO:BP	GO:0000281	mitotic cytokinesis	0.004568199372949416	True	"""A cell cycle process that results in the division of the cytoplasm of a cell after mitosis, resulting in the separation of the original cell into two daughter cells."" [GOC:mtg_cell_cycle]"	95	883	16	21026	0.01812004530011325	0.16842105263157894	query_1	['GO:0061640', 'GO:1903047']
REAC	REAC:R-HSA-68886	M Phase	0.00459312201833232	True	M Phase	407	502	39	11004	0.07768924302788845	0.09582309582309582	query_1	['REAC:R-HSA-69278']
GO:BP	GO:0051784	negative regulation of nuclear division	0.005694021875393886	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of nuclear division, the partitioning of the nucleus and its genetic information."" [GOC:ai]"	65	883	13	21026	0.014722536806342015	0.2	query_1	['GO:0000280', 'GO:0010639', 'GO:0051783']
KEGG	KEGG:04923	Regulation of lipolysis in adipocytes	0.005864345100204342	True	Regulation of lipolysis in adipocytes	58	387	11	8484	0.028423772609819122	0.1896551724137931	query_1	['KEGG:00000']
GO:BP	GO:0045930	negative regulation of mitotic cell cycle	0.007034778745546391	True	"""Any process that stops, prevents or reduces the rate or extent of progression through the mitotic cell cycle."" [GOC:dph, GOC:go_curators, GOC:tb]"	225	883	26	21026	0.02944507361268403	0.11555555555555555	query_1	['GO:0000278', 'GO:0007346', 'GO:0045786']
